input_index,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
132,0.4281953275203705,0.180658757686615,0.1959092915058136,1.9380232095718384,1.509827882051468,92,165,165
133,8.107503890991211,8.40632438659668,8.236380577087402,10.040534973144531,1.6342105865478516,92,165,165
134,2.125880241394043,2.288034200668335,2.2735939025878906,3.839221715927124,1.551187515258789,102,165,165
135,2.363295555114746,2.1564860343933105,2.035886287689209,4.014256000518799,1.6509604454040527,111,165,165
136,2.5852813720703125,2.456035852432251,2.503214120864868,4.473093509674072,1.8878121376037598,98,165,165
137,1.4610159397125244,1.376121997833252,1.2779276371002197,2.793839454650879,1.3328235149383545,82,165,165
138,4.411516189575195,4.682690620422363,4.619449138641357,6.6054158210754395,1.9227252006530762,121,165,165
139,5.274991035461426,5.2867631912231445,5.216937065124512,7.0564680099487305,1.769704818725586,116,165,165
140,1.5783469676971436,1.122253179550171,1.0433764457702637,4.272241592407227,2.693894624710083,109,165,165
141,8.499478340148926,8.706878662109375,8.64688777923584,10.252147674560547,1.5452690124511719,101,165,165
142,2.37400484085083,2.25197434425354,2.3208818435668945,3.988112211227417,1.614107370376587,101,165,165
143,3.8687009811401367,3.9750864505767822,3.9955079555511475,5.950281143188477,1.954773187637329,100,165,165
144,2.7646336555480957,2.76420521736145,2.6805899143218994,4.5252366065979,1.7606029510498047,112,165,165
145,5.221920490264893,5.094834327697754,4.9696364402771,6.452730178833008,1.2308096885681152,98,165,165
146,1.859053134918213,1.68296480178833,1.6019287109375,3.3439126014709473,1.4848594665527344,84,165,165
147,1.7113330364227295,1.7745616436004639,1.7320328950881958,3.6525442600250244,1.8779826164245605,103,165,165
148,2.773949146270752,2.64621639251709,2.5583250522613525,4.527652263641357,1.7537031173706055,122,165,165
149,2.721782684326172,2.3652753829956055,2.447854518890381,4.716452598571777,1.9946699142456055,103,165,165
150,4.291650772094727,4.4013543128967285,4.360074520111084,6.550568580627441,2.149214267730713,117,165,165
151,6.788949966430664,6.768894195556641,6.568607330322266,9.557044982910156,2.768095016479492,117,165,165
152,12.18068790435791,12.389355659484863,11.930587768554688,14.29179573059082,1.902440071105957,112,165,165
153,7.554343223571777,7.685610771179199,7.6837568283081055,9.115985870361328,1.430375099182129,89,165,165
154,7.600172996520996,7.781628608703613,7.654876708984375,9.679765701293945,1.898137092590332,91,165,165
155,2.6551451683044434,2.7430880069732666,2.70849609375,4.633746147155762,1.8906581401824951,112,165,165
156,4.782673358917236,4.700466632843018,4.480831623077393,6.896522521972656,2.11384916305542,131,165,165
157,6.2890825271606445,6.540909767150879,6.400694847106934,8.130133628845215,1.589223861694336,116,165,165
158,1.7422313690185547,1.930816411972046,1.940464973449707,3.2523725032806396,1.3119075298309326,94,165,165
159,7.619755744934082,7.093656539916992,6.9563751220703125,10.15556526184082,2.5358095169067383,106,165,165
160,0.8868024349212646,0.6352631449699402,0.5382555723190308,3.0804412364959717,2.193638801574707,110,165,165
161,0.46003976464271545,0.3813377618789673,0.24915924668312073,2.432570457458496,1.9725306928157806,122,165,165
162,5.341438293457031,5.045107841491699,4.899808406829834,7.611301898956299,2.2698636054992676,110,165,165
163,6.834155082702637,6.826187610626221,6.602487087249756,8.292762756347656,1.4586076736450195,114,165,165
164,8.535294532775879,8.55788803100586,8.179179191589355,10.278923034667969,1.7210350036621094,101,165,165
